date,ukraine_inflation_yoy
2001-01-01,22.08722196411439
2001-02-01,18.896171632041714
2001-03-01,17.26426339395486
2001-04-01,17.03365520635609
2001-05-01,15.085004727895734
2001-06-01,11.644662252905613
2001-07-01,9.85655955416036
2001-08-01,9.636846435052071
2001-09-01,7.285958889661037
2001-10-01,6.016302571440213
2001-11-01,6.121896498304169
2001-12-01,6.121896498304169
2002-01-01,5.599128535258346
2002-02-01,3.4997422820723045
2002-03-01,2.1622704633178946
2002-04-01,2.0616179801028256
2002-05-01,1.350032994185768
2002-06-01,-1.0678604370870648
2002-07-01,-0.8665742935206056
2002-08-01,-0.8665742935206278
2002-09-01,-1.0640512371589916
2002-10-01,-0.5703588780629487
2002-11-01,-0.37248894548197464
2002-12-01,-0.5686060932270864
2003-01-01,-0.07637146992623967
2003-02-01,2.457189091181089
2003-03-01,4.314419104918521
2003-04-01,3.5942998408806215
2003-05-01,3.9060178945643065
2003-06-01,5.916419462789091
2003-07-01,7.4218305008388885
2003-08-01,5.8072739301850085
2003-09-01,6.229658257251569
2003-10-01,6.862605575566838
2003-11-01,8.13604278202844
2003-12-01,8.24268582224741
2004-01-01,8.136042782028419
2004-02-01,7.387326363161795
2004-03-01,6.643793935325859
2004-04-01,6.643793935325881
2004-05-01,7.39030049287317
2004-06-01,8.033998597725557
2004-07-01,8.142140738463999
2004-08-01,9.902338349669936
2004-09-01,10.667066350114961
2004-10-01,11.65028806497288
2004-11-01,11.321582604526403
2004-12-01,12.308670529098563
2005-01-01,12.640944702261603
2005-02-01,13.314097758251208
2005-03-01,14.668449524286098
2005-04-01,14.668449524286098
2005-05-01,14.554578174212306
2005-06-01,14.44081990393007
2005-07-01,14.78414236364185
2005-08-01,14.899041405046876
2005-09-01,13.878220701546962
2005-10-01,12.429671905930405
2005-11-01,11.987035402363766
2005-12-01,10.346600313461995
2006-01-01,9.80408998743707
2006-02-01,10.673825353674204
2006-03-01,8.604137674816092
2006-04-01,7.417796548278854
2006-05-01,7.311019414533049
2006-06-01,6.777664447263976
2006-07-01,7.416414184735176
2006-08-01,7.416414184735176
2006-09-01,9.128229550228962
2006-10-01,10.966861762670877
2006-11-01,11.624768057706468
2006-12-01,11.624768057706447
2007-01-01,10.852659978255907
2007-02-01,9.545948858669394
2007-03-01,10.095326736596544
2007-04-01,10.537476643169219
2007-05-01,10.64746418211766
2007-06-01,12.968739654469807
2007-07-01,13.528545103699074
2007-08-01,14.209716374321268
2007-09-01,14.43365699466308
2007-10-01,14.768258330904803
2007-11-01,15.21921415931702
2007-12-01,16.589512048228585
2008-01-01,19.373739201619156
2008-02-01,21.86563634201084
2008-03-01,26.244042438130965
2008-04-01,30.157607753713034
2008-05-01,31.063276992555956
2008-06-01,29.26788963649354
2008-07-01,26.845710244882692
2008-08-01,25.96308601852666
2008-09-01,24.607318947877154
2008-10-01,23.154172371225478
2008-11-01,22.31065064265545
2008-12-01,22.31065064265545
2009-01-01,22.31065064265543
2009-02-01,20.881509641962246
2009-03-01,18.086561442148085
2009-04-01,15.56677060633116
2009-05-01,14.654101144484532
2009-06-01,14.995333588366911
2009-07-01,15.457626386712153
2009-08-01,15.342053187125826
2009-09-01,14.999791901704107
2009-10-01,14.095172103067299
2009-11-01,13.645535956848299
2009-12-01,12.309839158139035
2010-01-01,11.109248068984968
2010-02-01,11.547117026892328
2010-03-01,10.997081933071362
2010-04-01,9.676997707901048
2010-05-01,8.476552956869288
2010-06-01,6.867108550981027
2010-07-01,6.7601344683473785
2010-08-01,8.257771625218012
2010-09-01,10.51314186741006
2010-10-01,10.075032286171549
2010-11-01,9.204013237418462
2010-12-01,9.095783293674732
2011-01-01,8.238449043822671
2011-02-01,7.176246403549613
2011-03-01,7.707347723686131
2011-04-01,9.435850796483503
2011-05-01,10.977200807701571
2011-06-01,11.868583946719236
2011-07-01,10.635563482376643
2011-08-01,8.886384613090037
2011-09-01,5.923489793686221
2011-10-01,5.396507257399241
2011-11-01,5.186344730465242
2011-12-01,4.560235535641044
2012-01-01,3.732035650210208
2012-02-01,3.0123882274634584
2012-03-01,1.8948968364357333
2012-04-01,0.5872624249118719
2012-05-01,-0.510416034090122
2012-06-01,-1.2040685119400818
2012-07-01,-0.10299936668307641
2012-08-01,-0.002701173276142832
2012-09-01,-0.002701173276153934
2012-10-01,-0.002701173276153934
2012-11-01,-0.20249597612673753
2012-12-01,-0.20249597612672643
2013-01-01,-0.20249597612670422
2013-02-01,-0.5012908983538678
2013-03-01,-0.7988942157067469
2013-04-01,-0.7988942157067469
2013-05-01,-0.4008957973143934
2013-06-01,-0.10119939550089496
2013-07-01,-0.0011003968992007174
2013-08-01,-0.40229959289959094
2013-09-01,-0.501797795104475
2013-10-01,-0.10380498628489443
2013-11-01,0.19618358732984564
2013-12-01,0.4961721609445968
2014-01-01,0.4961721609445746
2014-02-01,1.200349543453716
2014-03-01,3.426757233409705
2014-04-01,6.8398402221122145
2014-05-01,10.788965185367093
2014-06-01,11.896854837220761
2014-07-01,12.456899155725365
2014-08-01,14.155643855962929
2014-09-01,17.466157527785864
2014-10-01,19.806120825152117
2014-11-01,21.838759601626776
2014-12-01,24.869574517090133
2015-01-01,28.48356419872249
2015-02-01,34.486275448563376
2015-03-01,45.80312445891215
2015-04-01,60.90567462067749
2015-05-01,58.42543300802738
2015-06-01,57.48429182184107
2015-07-01,55.2882957207397
2015-08-01,52.82340213787078
2015-09-01,51.93230358313099
2015-10-01,46.442562145068614
2015-11-01,46.586274178577035
2015-12-01,43.3129884444923
2016-01-01,40.254903337044404
2016-02-01,32.66275757236108
2016-03-01,20.92904796758548
2016-04-01,9.790846181097358
2016-05-01,7.5348698897049315
2016-06-01,6.8922312250254025
2016-07-01,7.863978781616554
2016-08-01,8.407648029507797
2016-09-01,7.877796377359658
2016-10-01,12.359042224848782
2016-11-01,12.138730377349049
2016-12-01,12.361448809081654
2017-01-01,12.584167240814171
2017-02-01,14.166675615685076
2017-03-01,15.070966115611274
2017-04-01,12.180294503045207
2017-05-01,13.525113218366446
2017-06-01,15.57266035056144
2017-07-01,15.919725396659201
2017-08-01,16.152262458638454
2017-09-01,16.38045943792854
2017-10-01,14.569090419439368
2017-11-01,13.556200622018032
2017-12-01,13.668743932842586
2018-01-01,14.118471900925055
2018-02-01,14.00548331488456
2018-03-01,13.221555630008153
2018-04-01,13.109343979235067
2018-05-01,11.657792674467004
2018-06-01,9.899402238648625
2018-07-01,8.912281859259586
2018-08-01,9.021303162422
2018-09-01,8.914419531870577
2018-10-01,9.452534252877886
2018-11-01,9.994915492981304
2018-12-01,9.777103779133833
2019-01-01,9.2363298688918
2019-02-01,8.803281980412514
2019-03-01,8.588043044744055
2019-04-01,8.803495511102689
2019-05-01,9.565119979680436
2019-06-01,9.017294379782005
2019-07-01,9.127080174726409
2019-08-01,8.799698934202226
2019-09-01,7.51844634616452
2019-10-01,6.461234484353651
2019-11-01,5.096346862759371
2019-12-01,4.053724374041523
2020-01-01,3.229536458207538
2020-02-01,2.407808804808864
2020-03-01,2.306314445240165
2020-04-01,2.1037276839624752
2020-05-01,1.6981518043836408
2020-06-01,2.4136161889370955
2020-07-01,2.4136161889370955
2020-08-01,2.516337970470639
2020-09-01,2.312730546497499
2020-10-01,2.6175351062189156
2020-11-01,3.8477153472525005
2020-12-01,4.99232944426633
2021-01-01,6.144939847347075
2021-02-01,7.528976174343582
2021-03-01,8.48905631875736
2021-04-01,8.381428286695126
2021-05-01,9.462000851866549
2021-06-01,9.46200085186657
2021-07-01,10.232860012795154
2021-08-01,10.232860012795154
2021-09-01,11.000651077560896
2021-10-01,10.890749442830682
2021-11-01,10.343411094149403
2021-12-01,10.015333558686091
2022-01-01,10.015333558686113
2022-02-01,10.668889995668396
2022-03-01,13.715821086994517
2022-04-01,16.42602933534394
2022-05-01,18.03507613760933
2022-06-01,21.451260975923358
2022-07-01,22.179240562192646
2022-08-01,23.77075371580839
2022-09-01,24.62687553004819
2022-10-01,26.60311934420152
2022-11-01,26.47752101151881
2022-12-01,26.603244193438847
2023-01-01,25.978351576491953
2023-02-01,24.862401611739582
2023-03-01,21.277835058292528
2023-04-01,17.866528349572384
2023-05-01,15.341636797780179
2023-06-01,12.768544997247734
2023-07-01,11.312744515654671
2023-08-01,8.560203850084559
2023-09-01,7.068699577365023
2023-10-01,5.292926023398992
2023-11-01,5.08380402533859
2023-12-01,5.0838040253385675
2024-01-01,4.6668048030158005
2024-02-01,4.251047882249082
2024-03-01,3.223943962226916
2024-04-01,3.223943962226916
2024-05-01,3.3266543542291416
2024-06-01,4.761746775815667
2024-07-01,5.394111444482563
2024-08-01,7.531923035648536
2024-09-01,8.60189241908782
2024-10-01,9.679292145467656
2024-11-01,11.207162881822462
2024-12-01,11.980201749918539
2025-01-01,12.872474273822277
2025-02-01,13.435148622146453
2025-03-01,14.56385656863548
2025-04-01,15.1355324996167
2025-05-01,15.936674375856574
2025-06-01,14.3485007542695
2025-07-01,14.11980375276094
2025-08-01,13.2122904028384
2025-09-01,11.873819974430466
2025-10-01,10.884758697642782
2025-11-01,9.252500228099446
2025-12-01,7.9595712313172085
