date,country,inflation_yoy
2022-04-01,de,7.8
2022-05-01,de,8.7
2022-06-01,de,8.2
2022-07-01,de,8.5
2022-08-01,de,8.8
2022-09-01,de,10.9
2022-10-01,de,11.6
2022-11-01,de,11.3
2022-12-01,de,9.6
2023-01-01,de,9.2
2023-02-01,de,9.3
2023-03-01,de,7.8
2023-04-01,de,7.6
2023-05-01,de,6.3
2023-06-01,de,6.8
2023-07-01,de,6.5
2023-08-01,de,6.4
2023-09-01,de,4.3
2023-10-01,de,3.0
2023-11-01,de,2.3
2023-12-01,de,3.8
2024-01-01,de,3.1
2024-02-01,de,2.7
2024-03-01,de,2.3
2024-04-01,de,2.4
2024-05-01,de,2.8
2024-06-01,de,2.5
2024-07-01,de,2.6
2024-08-01,de,2.0
2024-09-01,de,1.8
2024-10-01,de,2.4
2024-11-01,de,2.4
2024-12-01,de,2.8
2025-01-01,de,2.8
2025-02-01,de,2.6
2025-03-01,de,2.3
2025-04-01,de,2.2
2025-05-01,de,2.1
2025-06-01,de,2.0
2025-07-01,de,1.8
2025-08-01,de,2.1
2025-09-01,de,2.4
2025-10-01,de,2.3
2025-11-01,de,2.6
2025-12-01,de,2.0
2000-01-01,es,2.9
2000-02-01,es,3.0
2000-03-01,es,3.0
2000-04-01,es,3.0
2000-05-01,es,3.2
2000-06-01,es,3.5
2000-07-01,es,3.7
2000-08-01,es,3.6
2000-09-01,es,3.7
2000-10-01,es,4.0
2000-11-01,es,4.1
2000-12-01,es,4.0
2001-01-01,es,2.9
2001-02-01,es,2.7
2001-03-01,es,3.0
2001-04-01,es,3.6
2001-05-01,es,3.8
2001-06-01,es,3.7
2001-07-01,es,2.4
2001-08-01,es,2.1
2001-09-01,es,2.3
2001-10-01,es,2.5
2001-11-01,es,2.5
2001-12-01,es,2.5
2002-01-01,es,3.1
2002-02-01,es,3.2
2002-03-01,es,3.2
2002-04-01,es,3.7
2002-05-01,es,3.7
2002-06-01,es,3.4
2002-07-01,es,3.5
2002-08-01,es,3.7
2002-09-01,es,3.5
2002-10-01,es,4.0
2002-11-01,es,3.9
2002-12-01,es,4.0
2003-01-01,es,3.8
2003-02-01,es,3.9
2003-03-01,es,3.7
2003-04-01,es,3.2
2003-05-01,es,2.7
2003-06-01,es,2.8
2003-07-01,es,2.9
2003-08-01,es,3.1
2003-09-01,es,3.0
2003-10-01,es,2.7
2003-11-01,es,2.9
2003-12-01,es,2.7
2004-01-01,es,2.3
2004-02-01,es,2.2
2004-03-01,es,2.2
2004-04-01,es,2.7
2004-05-01,es,3.4
2004-06-01,es,3.5
2004-07-01,es,3.3
2004-08-01,es,3.3
2004-09-01,es,3.2
2004-10-01,es,3.6
2004-11-01,es,3.5
2004-12-01,es,3.3
2005-01-01,es,3.1
2005-02-01,es,3.3
2005-03-01,es,3.4
2005-04-01,es,3.5
2005-05-01,es,3.1
2005-06-01,es,3.2
2005-07-01,es,3.3
2005-08-01,es,3.3
2005-09-01,es,3.8
2005-10-01,es,3.5
2005-11-01,es,3.4
2005-12-01,es,3.7
2006-01-01,es,4.2
2006-02-01,es,4.1
2006-03-01,es,3.9
2006-04-01,es,3.9
2006-05-01,es,4.1
2006-06-01,es,4.0
2006-07-01,es,4.0
2006-08-01,es,3.8
2006-09-01,es,2.9
2006-10-01,es,2.6
2006-11-01,es,2.7
2006-12-01,es,2.7
2007-01-01,es,2.4
2007-02-01,es,2.4
2007-03-01,es,2.5
2007-04-01,es,2.5
2007-05-01,es,2.4
2007-06-01,es,2.4
2007-07-01,es,2.3
2007-08-01,es,2.2
2007-09-01,es,2.7
2007-10-01,es,3.6
2007-11-01,es,4.1
2007-12-01,es,4.3
2008-01-01,es,4.4
2008-02-01,es,4.5
2008-03-01,es,4.6
2008-04-01,es,4.2
2008-05-01,es,4.7
2008-06-01,es,5.1
2008-07-01,es,5.3
2008-08-01,es,4.9
2008-09-01,es,4.6
2008-10-01,es,3.6
2008-11-01,es,2.4
2008-12-01,es,1.4
2009-01-01,es,0.8
2009-02-01,es,0.7
2009-03-01,es,-0.1
2009-04-01,es,-0.2
2009-05-01,es,-0.9
2009-06-01,es,-1.0
2009-07-01,es,-1.3
2009-08-01,es,-0.7
2009-09-01,es,-0.9
2009-10-01,es,-0.6
2009-11-01,es,0.4
2009-12-01,es,0.9
2010-01-01,es,0.7
2010-02-01,es,0.4
2010-03-01,es,2.7
2010-04-01,es,2.4
2010-05-01,es,2.5
2010-06-01,es,2.1
2010-07-01,es,1.8
2010-08-01,es,1.6
2010-09-01,es,2.8
2010-10-01,es,2.5
2010-11-01,es,2.3
2010-12-01,es,2.9
2011-01-01,es,3.0
2011-02-01,es,3.4
