date,UKR_IP_I15
2002-01-01,69.03693764798749
2002-02-01,70.77419100236791
2002-03-01,78.1764009471193
2002-04-01,78.70513022888724
2002-05-01,76.96787687450681
2002-06-01,79.38492501973175
2002-07-01,80.74451460142078
2002-08-01,81.12217837411212
2002-09-01,83.6902920284136
2002-10-01,92.52762430939228
2002-11-01,88.52438831886344
2002-12-01,86.56053670086813
2003-01-01,77.72320441988943
2003-02-01,78.02533543804257
2003-03-01,87.24033149171262
2003-04-01,89.65737963693759
2003-05-01,87.3913970007892
2003-06-01,93.05635359116015
2003-07-01,98.64577742699278
2003-08-01,96.83299131807412
2003-09-01,100.0053670086819
2003-10-01,109.2203630623519
2003-11-01,100.9872928176795
2003-12-01,102.4979479084451
2004-01-01,90.26164167324382
2004-02-01,92.82975532754529
2004-03-01,104.3107340173637
2004-04-01,102.2713496448302
2004-05-01,99.40110497237558
2004-06-01,104.0086029992106
2004-07-01,108.4650355169691
2004-08-01,106.3501183898972
2004-09-01,109.7490923441198
2004-10-01,116.7736385161797
2004-11-01,111.712943962115
2004-12-01,106.9543804262033
2005-01-01,98.49471191791605
2005-02-01,97.96598263614813
2005-03-01,111.4108129439618
2005-04-01,107.2565114443565
2005-05-01,102.6490134175215
2005-06-01,102.7245461720598
2005-07-01,105.5192580899761
2005-08-01,106.8788476716651
2005-09-01,110.2022888713494
2005-10-01,118.7374901341749
2005-11-01,113.9789265982633
2005-12-01,112.6193370165743
2006-01-01,95.6999999999998
2006-02-01,97.59999999999978
2006-03-01,110.7999999999997
2006-04-01,104.9999999999998
2006-05-01,106.9999999999998
2006-06-01,108.9999999999998
2006-07-01,112.9999999999998
2006-08-01,111.7999999999998
2006-09-01,111.3999999999998
2006-10-01,120.5999999999998
2006-11-01,122.0999999999998
2006-12-01,123.4999999999998
2007-01-01,106.8999999999998
2007-02-01,105.1999999999999
2007-03-01,118.3999999999999
2007-04-01,114.0
2007-05-01,112.0
2007-06-01,117.0
2007-07-01,119.0
2007-08-01,122.4
2007-09-01,117.3
2007-10-01,137.4000000000001
2007-11-01,127.0
2007-12-01,123.8
2008-01-01,112.2000000000001
2008-02-01,112.8000000000001
2008-03-01,121.2000000000002
2008-04-01,118.0000000000001
2008-05-01,118.0000000000001
2008-06-01,118.0000000000001
2008-07-01,122.0000000000001
2008-08-01,118.3
2008-09-01,115.6
2008-10-01,108.4
2008-11-01,92.40000000000003
2008-12-01,93.70000000000005
2009-01-01,77.60000000000001
2009-02-01,81.49999999999999
2009-03-01,89.00000000000001
2009-04-01,83.89999999999996
2009-05-01,83.29999999999993
2009-06-01,86.59999999999994
2009-07-01,91.2999999999999
2009-08-01,90.39999999999996
2009-09-01,92.99999999999999
2009-10-01,99.49999999999999
2009-11-01,96.99999999999999
2009-12-01,98.69999999999999
2010-01-01,87.80000000000001
2010-02-01,88.20000000000002
2010-03-01,101.2
2010-04-01,98.69999999999999
2010-05-01,95.9
2010-06-01,97.79999999999997
2010-07-01,99.1
2010-08-01,99.70000000000002
2010-09-01,103.4
2010-10-01,109.9
2010-11-01,107.9
2010-12-01,110.4
2011-01-01,96.1999999999999
2011-02-01,97.29999999999988
2011-03-01,110.0999999999998
2011-04-01,103.9999999999998
2011-05-01,104.9999999999998
2011-06-01,105.9999999999997
2011-07-01,107.9999999999997
2011-08-01,110.0999999999998
2011-09-01,111.9999999999997
2011-10-01,118.3999999999997
2011-11-01,114.7999999999996
2011-12-01,114.2999999999996
2012-01-01,98.49999999999972
2012-02-01,100.1999999999997
2012-03-01,110.2999999999997
2012-04-01,104.9999999999998
2012-05-01,107.9999999999998
2012-06-01,104.9999999999998
2012-07-01,109.9999999999998
2012-08-01,107.2999999999998
2012-09-01,107.3999999999999
2012-10-01,114.9999999999998
2012-11-01,111.8999999999998
2012-12-01,107.7999999999999
2013-01-01,95.19999999999987
2013-02-01,94.49999999999989
2013-03-01,105.1999999999999
2013-04-01,102.9999999999999
2013-05-01,97.99999999999993
2013-06-01,99.49999999999991
2013-07-01,104.9999999999999
2013-08-01,102.5999999999999
2013-09-01,102.2999999999999
