date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2000-01-01,104.6,1.046,104.60000000000001,
2000-02-01,103.3,1.033,108.05179999999999,
2000-03-01,102.0,1.02,110.21283599999998,
2000-04-01,101.7,1.0170000000000001,112.08645421199999,
2000-05-01,102.1,1.021,114.44026975045199,
2000-06-01,103.7,1.037,118.6745597312187,
2000-07-01,99.9,0.9990000000000001,118.55588517148749,
2000-08-01,100.0,1.0,118.55588517148749,
2000-09-01,102.6,1.026,121.63833818594618,
2000-10-01,101.4,1.014,123.34127492054942,
2000-11-01,100.4,1.004,123.83464002023163,
2000-12-01,101.6,1.016,125.81599426055534,
2001-01-01,101.5,1.015,127.70323417446366,22.08722196411439
2001-02-01,100.6,1.006,128.46945357951043,18.896171632041714
2001-03-01,100.6,1.006,129.24027030098748,17.26426339395486
2001-04-01,101.5,1.015,131.17887435550227,17.03365520635609
2001-05-01,100.4,1.004,131.7035898529243,15.085004727895734
2001-06-01,100.6,1.006,132.49381139204183,11.644662252905613
2001-07-01,98.3,0.983,130.24141659837713,9.85655955416036
2001-08-01,99.8,0.998,129.9809337651804,9.636846435052071
2001-09-01,100.4,1.004,130.5008575002411,7.285958889661037
2001-10-01,100.2,1.002,130.76185921524157,6.016302571440213
2001-11-01,100.5,1.005,131.41566851131776,6.121896498304169
2001-12-01,101.6,1.016,133.51831920749885,6.121896498304169
2002-01-01,101.0,1.01,134.85350239957384,5.599128535258346
2002-02-01,98.6,0.986,132.96555336597982,3.4997422820723045
2002-03-01,99.3,0.993,132.03479449241794,2.1622704633178946
2002-04-01,101.4,1.014,133.8832816153118,2.0616179801028256
2002-05-01,99.7,0.997,133.48163177046587,1.350032994185768
2002-06-01,98.2,0.982,131.07896239859747,-1.0678604370870648
2002-07-01,98.5,0.985,129.1127779626185,-0.8665742935206056
2002-08-01,99.8,0.998,128.85455240669327,-0.8665742935206278
2002-09-01,100.2,1.002,129.1122615115067,-1.0640512371589916
2002-10-01,100.7,1.0070000000000001,130.01604734208726,-0.5703588780629487
2002-11-01,100.7,1.0070000000000001,130.92615967348186,-0.37248894548197464
2002-12-01,101.4,1.014,132.75912590891062,-0.5686060932270864
2003-01-01,101.5,1.015,134.75051279754427,-0.07637146992623967
2003-02-01,101.1,1.011,136.23276843831724,2.457189091181089
2003-03-01,101.1,1.011,137.73132889113873,4.314419104918521
2003-04-01,100.7,1.0070000000000001,138.6954481933767,3.5942998408806215
2003-05-01,100.0,1.0,138.6954481933767,3.9060178945643065
2003-06-01,100.1,1.001,138.83414364157008,5.916419462789091
2003-07-01,99.9,0.9990000000000001,138.69530949792852,7.4218305008388885
2003-08-01,98.3,0.983,136.33748923646374,5.8072739301850085
