date,ukraine_inflation_yoy,ukraine_inflation_yoy_cf
2001-09-01,7.285958889661037,15.915121077228937
2001-10-01,6.016302571440213,14.270690042442105
2001-11-01,6.121896498304169,13.349994471772007
2001-12-01,6.121896498304169,13.664095858787903
2002-01-01,5.599128535258346,15.806462847973346
2002-02-01,3.4997422820723045,15.772947979395354
2002-03-01,2.1622704633178946,16.384819391298745
2002-04-01,2.0616179801028256,16.564419307955216
2002-05-01,1.350032994185768,15.398404278736972
2002-06-01,-1.0678604370870648,13.67182582286119
2002-07-01,-0.8665742935206056,13.139289348515723
2002-08-01,-0.8665742935206278,12.63652502942623
2002-09-01,-1.0640512371589916,12.136525465305537
2002-10-01,-0.5703588780629487,12.000179593165058
2002-11-01,-0.37248894548197464,11.390947248796099
2002-12-01,-0.5686060932270864,10.093331149004609
2003-01-01,-0.07637146992623967,8.909597585264494
2003-02-01,2.457189091181089,9.231994050344044
2003-03-01,4.314419104918521,8.425695180450871
2003-04-01,3.5942998408806215,6.296554478690567
2003-05-01,3.9060178945643065,4.255572252346824
2003-06-01,5.916419462789091,3.8129680433800566
2003-07-01,7.4218305008388885,3.7575067713596813
2003-08-01,5.8072739301850085,2.7710081271064233
2003-09-01,6.229658257251569,2.880582268644959
2003-10-01,6.862605575566838,2.9552429857344102
2003-11-01,8.13604278202844,3.926180892077995
2003-12-01,8.24268582224741,4.110410424626525
2004-01-01,8.136042782028419,3.347172854480333
2004-02-01,7.387326363161795,2.7113488468826668
2004-03-01,6.643793935325859,1.9091807303058257
2004-04-01,6.643793935325881,2.4491313788643847
2004-05-01,7.39030049287317,4.227623199388124
2004-06-01,8.033998597725557,5.3083904357581035
2004-07-01,8.142140738463999,5.497037672991961
2004-08-01,9.902338349669936,5.984654262965831
2004-09-01,10.667066350114961,5.389019201906829
2004-10-01,11.65028806497288,5.649152214145526
2004-11-01,11.321582604526403,4.483501951583349
2004-12-01,12.308670529098563,3.897277234187602
2005-01-01,12.640944702261603,2.787115853077059
2005-02-01,13.314097758251208,2.035435899086353
2005-03-01,14.668449524286098,2.520160151516649
2005-04-01,14.668449524286098,2.2965057042028065
2005-05-01,14.554578174212306,1.2201237714196365
2005-06-01,14.44081990393007,0.8510635942091485
2005-07-01,14.78414236364185,1.470040096881556
2005-08-01,14.899041405046876,2.1305293316721734
2005-09-01,13.878220701546962,2.9591552264923155
2005-10-01,12.429671905930405,2.2106138251098377
2005-11-01,11.987035402363766,1.9655429629751149
2005-12-01,10.346600313461995,1.2757300790658606
2006-01-01,9.80408998743707,1.3838357933009635
