date,baseline_cf,full_replacement_cf,ukraine_inflation_yoy
2001-09-01,15.915121077228937,16.917661543159838,7.285958889661037
2001-10-01,14.270690042442105,16.08768308598157,6.016302571440213
2001-11-01,13.349994471772007,15.286574857175886,6.121896498304169
2001-12-01,13.664095858787903,16.421159449756566,6.121896498304169
2002-01-01,15.806462847973346,20.80803154640127,5.599128535258346
2002-02-01,15.772947979395354,22.51237450473807,3.4997422820723045
2002-03-01,16.384819391298745,24.703908877176506,2.1622704633178946
2002-04-01,16.564419307955216,25.289590893101966,2.0616179801028256
2002-05-01,15.398404278736972,23.993579278737183,1.350032994185768
2002-06-01,13.67182582286119,22.865380031403284,-1.0678604370870648
2002-07-01,13.139289348515723,21.953778537858433,-0.8665742935206056
2002-08-01,12.63652502942623,21.20472537433919,-0.8665742935206278
2002-09-01,12.136525465305537,20.575273375099318,-1.0640512371589916
2002-10-01,12.000179593165058,20.077977421686583,-0.5703588780629487
2002-11-01,11.390947248796099,18.97928359967698,-0.37248894548197464
2002-12-01,10.093331149004609,16.987545691150228,-0.5686060932270864
2003-01-01,8.909597585264494,14.719927355203088,-0.07637146992623967
2003-02-01,9.231994050344044,13.596122489583223,2.457189091181089
2003-03-01,8.425695180450871,11.037525580456236,4.314419104918521
2003-04-01,6.296554478690567,7.988700840745641,3.5942998408806215
2003-05-01,4.255572252346824,4.395829994875495,3.9060178945643065
2003-06-01,3.8129680433800566,2.3318982714062426,5.916419462789091
2003-07-01,3.7575067713596813,1.24771752230182,7.4218305008388885
2003-08-01,2.7710081271064233,0.6899837811212184,5.8072739301850085
2003-09-01,2.880582268644959,0.5995597116744522,6.229658257251569
2003-10-01,2.9552429857344102,0.3092897540719213,6.862605575566838
2003-11-01,3.926180892077995,1.0847372128795767,8.13604278202844
2003-12-01,4.110410424626525,1.3259470161825324,8.24268582224741
2004-01-01,3.347172854480333,0.1294544157368438,8.136042782028419
2004-02-01,2.7113488468826668,-0.42729781529832084,7.387326363161795
2004-03-01,1.9091807303058257,-1.2653119510696953,6.643793935325859
2004-04-01,2.4491313788643847,-0.3626317901971572,6.643793935325881
2004-05-01,4.227623199388124,2.1062016748014614,7.39030049287317
2004-06-01,5.3083904357581035,3.480349321286015,8.033998597725557
2004-07-01,5.497037672991961,3.724368631802951,8.142140738463999
2004-08-01,5.984654262965831,3.365044814023223,9.902338349669936
