period,observed_mean,counterfactual_mean,gap
2001-2007,8.298109289971295,7.144634264550143,1.1534750254211525
2008-2009,20.646196957995475,9.332891920236882,11.313305037758592
2010-2013,4.425997362295091,4.863020197853011,-0.43702283555791954
2014-2015,30.300678518019776,15.317891825915643,14.982786692104133
2016-2021,10.064139602231156,9.21619759348408,0.8479420087470757
2022-2023,16.711276910655783,22.046071508110135,-5.334794597454351
